,0,1
HH,-930493.592983136,-79810.68568233223
H2,0.0005827089344937728,0.006996516536710789
H,0.00020006787315510245,0.00232020273843607
O,0.0023157604950656257,0.028618818830148593
O2,0.010690263087590988,0.14912592439050684
OH,0.006170356923243087,0.07307963622312821
H2O,0.02828273157589325,0.3296330413165715
HO2,6.108143478449134e-06,8.881204684780148e-05
H2O2,2.8968422135318203e-07,4.210803890218578e-06
C,9.171437849644976e-13,2.0355346363809566e-05
CH,1.1032462643608999e-13,2.9858085960443293e-05
CH2,6.872693109047177e-14,7.150678364215887e-05
CH2(S),7.14655069230689e-15,3.650306402463162e-05
CH3,5.812122470788831e-14,0.0009032157665777535
CH4,5.8078656367867505e-15,0.0009743896307959684
CO,0.017421042084439373,0.2168657739349773
CO2,0.019793874206960514,0.22795679552568165
HCO,6.597955641575672e-08,0.00022084165723278276
CH2O,5.560989145711773e-10,0.0003961917077202669
CH2OH,3.2306200771772126e-14,7.2686296846609e-05
CH3O,8.318985469617596e-16,2.6147575285140677e-06
CH3OH,7.833837161088562e-16,2.5922245713424108e-06
C2H,3.567363494935148e-18,3.354483398669063e-07
C2H2,2.923413374908743e-17,3.578100360959813e-06
C2H3,2.602236318752647e-21,2.080472264127795e-06
C2H4,3.3902202947029446e-22,1.8695457840574398e-06
C2H5,4.375660056672234e-26,4.5663176799283123e-07
C2H6,7.753952612727701e-28,1.2320538338884755e-08
HCCO,1.1346598886642335e-15,5.460429399295182e-06
CH2CO,2.6263119616984416e-16,4.405419720054472e-06
HCCOH,1.8441780706503008e-18,2.0238442356942414e-07
CH2CHO,1.369503148765663e-20,1.5059072011241294e-07
CH3CHO,7.695055895858072e-22,1.0659681391081538e-06
